"Latest: Time (s)","Latest: Magnetic Field (mT)"
0,-0.288297938122
0.05,-0.288493298313
0.1,-0.290251540031
0.15,-0.289860819649
0.2,-0.289079378886
0.25,-0.287321137167
0.3,-0.288688658504
0.35,-0.29005617984
0.4,-0.291032980795
0.45,-0.291228340986
0.5,-0.288297938122
0.55,-0.288297938122
0.6,-0.288102577931
0.65,-0.289079378886
0.7,-0.288493298313
0.75,-0.29005617984
0.8,-0.28790721774
0.85,-0.288102577931
0.9,-0.28790721774
0.95,-0.289079378886
1,-0.289470099268
1.05,-0.288688658504
1.1,-0.289079378886
1.15,-0.289860819649
1.2,-0.288493298313
1.25,-0.28790721774
1.3,-0.28790721774
1.35,-0.289274739077
1.4,-0.288493298313
1.45,-0.288884018695
1.5,-0.289274739077
1.55,-0.288297938122
1.6,-0.291814421559
1.65,-0.289274739077
1.7,-0.288493298313
1.75,-0.289470099268
1.8,-0.289079378886
1.85,-0.288297938122
1.9,-0.288297938122
1.95,-0.289665459458
2,-0.290446900222
2.05,-0.290837620604
2.1,-0.290251540031
2.15,-0.291814421559
2.2,-0.290251540031
2.25,-0.290642260413
2.3,-0.289079378886
2.35,-0.29005617984
2.4,-0.288688658504
2.45,-0.290251540031
2.5,-0.288493298313
2.55,-0.286148976021
2.6,-0.286344336212
2.65,-0.284781454684
2.7,-0.279897449909
2.75,-0.271106241314
2.8,-0.261142871573
2.85,-0.255282065844
2.9,-0.241997572856
2.95,-0.233401724452
3,-0.219726511083
3.05,-0.210349221915
3.1,-0.198627610456
3.15,-0.186905998996
3.2,-0.17401222639
3.25,-0.165416377987
3.3,-0.158383411111
3.35,-0.1542808471
3.4,-0.151545804426
3.45,-0.147443240415
3.5,-0.140996354112
3.55,-0.135135548383
3.6,-0.127907221316
3.65,-0.122632496159
3.7,-0.119702093294
3.75,-0.117553131193
3.8,-0.111301605081
3.85,-0.109348003171
3.9,-0.110715524508
3.95,-0.111301605081
4,-0.110324804126
4.05,-0.111692325463
4.1,-0.109738723553
4.15,-0.1130598468
4.2,-0.112864486609
4.25,-0.111301605081
4.3,-0.111496965272
4.35,-0.110324804126
4.4,-0.110910884699
4.45,-0.110129443935
4.5,-0.112278406036
4.55,-0.110910884699
4.6,-0.112278406036
4.65,-0.112278406036
4.7,-0.111887685654
4.75,-0.110324804126
4.8,-0.110715524508
4.85,-0.111887685654
4.9,-0.110324804126
4.95,-0.1130598468
5,-0.109543363362
5.05,-0.110520164317
5.1,-0.111496965272
5.15,-0.110715524508
5.2,-0.111692325463
5.25,-0.11110624489
5.3,-0.11110624489
5.35,-0.11110624489
5.4,-0.108761922598
5.45,-0.109738723553
5.5,-0.112669126418
5.55,-0.112278406036
5.6,-0.111301605081
5.65,-0.11110624489
5.7,-0.111301605081
5.75,-0.110520164317
