"Latest: Time (s)","Latest: Magnetic Field (mT)"
9.35,-0.0163565522585
9.4,-0.0151843911126
9.45,-0.0149890309216
9.5,-0.0169426328315
9.55,-0.0165519124495
9.6,-0.0155751114945
9.65,-0.0179194337865
9.7,-0.0153797513035
9.75,-0.0177240735955
9.8,-0.0147936707306
9.85,-0.0167472726405
9.9,-0.0151843911126
9.95,-0.0163565522585
10,-0.0157704716855
10.05,-0.0177240735955
10.1,-0.0161611920675
10.15,-0.0151843911126
10.2,-0.0151843911126
10.25,-0.0155751114945
10.3,-0.0155751114945
10.35,-0.0151843911126
10.4,-0.0163565522585
10.45,-0.0159658318765
10.5,-0.0147936707306
10.55,-0.0159658318765
10.6,-0.0171379930225
10.65,-0.0159658318765
10.7,-0.0157704716855
10.75,-0.0155751114945
10.8,-0.0167472726405
10.85,-0.0161611920675
10.9,-0.0159658318765
10.95,-0.0159658318765
11,-0.0163565522585
11.05,-0.0159658318765
11.1,-0.0159658318765
11.15,-0.0173333532135
11.2,-0.0136215095846
11.25,-0.0130354290116
11.3,-0.0110818271017
11.35,-0.0124493484386
11.4,-0.00971430576474
11.45,-0.00736998347281
11.5,-0.00756534366381
11.55,-0.00658854270884
11.6,-0.00502566118089
11.65,-0.0046349407989
11.7,-0.00365813984393
11.75,-0.00385350003493
11.8,-0.00287669907996
11.85,-0.00268133888897
11.9,-0.00287669907996
11.95,-0.00268133888897
12,-0.00424422041692
12.05,-0.00307205927095
12.1,-0.0046349407989
12.15,-0.0046349407989
12.2,-0.00209525831599
12.25,-0.00229061850698
12.3,-0.00365813984393
12.35,-0.00365813984393
12.4,-0.00326741946195
12.45,-0.00365813984393
12.5,-0.00365813984393
12.55,-0.001704537934
12.6,-0.00365813984393
12.65,-0.00111845736102
12.7,-0.00287669907996
12.75,-0.00385350003493
12.8,-0.00248597869797
12.85,-0.00150917774301
12.9,-0.00346277965294
12.95,-0.00326741946195
13,-0.00365813984393
13.05,-0.00365813984393
13.1,-0.00424422041692
13.15,-0.00229061850698
13.2,-0.00561174175387
13.25,-0.00580710194486
13.3,-0.00385350003493
13.35,-0.00443958060791
13.4,-0.0048303009899
13.45,-0.00385350003493
13.5,-0.00424422041692
13.55,-0.00365813984393
13.6,-0.00287669907996
13.65,-0.0048303009899
13.7,-0.00287669907996
13.75,-0.00326741946195
13.8,-0.00365813984393
13.85,-0.00287669907996
13.9,-0.00404886022592
13.95,-0.00365813984393
14,-0.00522102137188
14.05,-0.00287669907996
14.1,-0.00385350003493
14.15,-0.00541638156288
14.2,-0.00365813984393
