"Latest: Time (s)","Latest: Magnetic Field (mT)"
0,-0.31936020849
0.05,-0.31936020849
0.1,-0.319555568681
0.15,-0.31936020849
0.2,-0.31936020849
0.25,-0.319555568681
0.3,-0.31936020849
0.35,-0.319555568681
0.4,-0.319555568681
0.45,-0.31936020849
0.5,-0.31936020849
0.55,-0.319555568681
0.6,-0.31936020849
0.65,-0.319555568681
0.7,-0.319555568681
0.75,-0.31936020849
0.8,-0.319555568681
0.85,-0.31936020849
0.9,-0.319555568681
0.95,-0.319555568681
1,-0.319555568681
1.05,-0.319555568681
1.1,-0.31936020849
1.15,-0.31936020849
1.2,-0.319555568681
1.25,-0.31936020849
1.3,-0.31936020849
1.35,-0.319555568681
1.4,-0.319555568681
1.45,-0.319555568681
1.5,-0.319555568681
1.55,-0.31936020849
1.6,-0.319555568681
1.65,-0.319555568681
1.7,-0.319555568681
1.75,-0.319555568681
1.8,-0.31936020849
1.85,-0.319555568681
1.9,-0.319555568681
1.95,-0.319555568681
2,-0.31936020849
2.05,-0.319555568681
2.1,-0.319555568681
2.15,-0.319555568681
2.2,-0.319555568681
2.25,-0.319555568681
2.3,-0.31936020849
2.35,-0.319555568681
2.4,-0.31936020849
2.45,-0.31936020849
2.5,-0.319555568681
2.55,-0.31936020849
2.6,-0.319555568681
2.65,-0.319555568681
2.7,-0.31936020849
2.75,-0.319555568681
2.8,-0.31936020849
2.85,-0.31936020849
2.9,-0.319555568681
2.95,-0.319555568681
3,-0.319555568681
3.05,-0.31936020849
3.1,-0.319555568681
3.15,-0.31936020849
3.2,-0.311350440659
3.25,-0.265831516157
3.3,-0.249030539732
3.35,-0.222461553757
3.4,-0.211912103443
3.45,-0.199799771601
3.5,-0.190031762052
3.55,-0.183194155367
3.6,-0.184170956322
3.65,-0.183584875749
3.7,-0.184170956322
3.75,-0.183194155367
3.8,-0.183194155367
3.85,-0.183389515558
3.9,-0.184561676704
3.95,-0.186124558232
4,-0.188273520333
4.05,-0.185147757277
4.1,-0.186905998996
4.15,-0.188078160142
4.2,-0.187492079569
4.25,-0.185929198041
4.3,-0.187296719378
4.35,-0.186710638805
4.4,-0.188859600906
4.45,-0.188859600906
4.5,-0.186515278614
4.55,-0.187296719378
4.6,-0.189445681479
4.65,-0.188859600906
4.7,-0.186515278614
4.75,-0.188859600906
4.8,-0.188078160142
4.85,-0.189445681479
4.9,-0.187101359187
4.95,-0.187882799951
5,-0.188468880524
5.05,-0.187101359187
5.1,-0.188273520333
5.15,-0.18964104167
5.2,-0.188078160142
5.25,-0.188664240715
5.3,-0.189445681479
5.35,-0.188273520333
5.4,-0.187882799951
5.45,-0.187882799951
5.5,-0.185538477659
5.55,-0.187101359187
5.6,-0.186124558232
5.65,-0.183975596131
5.7,-0.180459112693
5.75,-0.176747269064
5.8,-0.165807098369
5.85,-0.150764363662
5.9,-0.151155084044
5.95,-0.147638600606
6,-0.140996354112
6.05,-0.123023216541
6.1,-0.10915264298
6.15,-0.0991892732398
6.2,-0.0876630219712
6.25,-0.0786764531855
6.3,-0.0747692493656
6.35,-0.0734017280286
6.4,-0.0704713251637
6.45,-0.0724249270737
6.5,-0.0722295668827
6.55,-0.0681270028718
6.6,-0.063633718479
6.65,-0.061289396187
6.7,-0.0571868321762
6.75,-0.0579682729401
6.8,-0.0546471496933
6.85,-0.0577729127491
6.9,-0.0569914719852
6.95,-0.0564053914122
7,-0.0569914719852
7.05,-0.0571868321762
7.1,-0.0573821923672
7.15,-0.0567961117942
7.2,-0.0579682729401
7.25,-0.0573821923672
7.3,-0.0579682729401
7.35,-0.0554285904572
7.4,-0.0556239506482
7.45,-0.0581636331311
7.5,-0.0567961117942
7.55,-0.0585543535131
7.6,-0.0579682729401
7.65,-0.0552332302662
7.7,-0.0564053914122
7.75,-0.0564053914122
7.8,-0.0566007516032
7.85,-0.0548425098842
7.9,-0.0554285904572
7.95,-0.0560146710302
8,-0.0560146710302
8.05,-0.0566007516032
8.1,-0.0538657089293
8.15,-0.0548425098842
8.2,-0.0536703487383
8.25,-0.0532796283563
8.3,-0.0515213866374
8.35,-0.0511306662554
8.4,-0.0509353060644
8.45,-0.0468327420535
8.5,-0.0435116188066
8.55,-0.0394090547958
8.6,-0.0362832917399
8.65,-0.031594647156
8.7,-0.031399286965
8.75,-0.0274920831451
8.8,-0.0222173579883
8.85,-0.0229987987523
8.9,-0.0218266376063
8.95,-0.0202637560784
9,-0.0204591162694
9.05,-0.0204591162694
9.1,-0.0173333532135
9.15,-0.0190915949324
9.2,-0.0167472726405
9.25,-0.0155751114945
9.3,-0.0151843911126
